INCIDENT_REPORTED_DATE,CATEGORY,ADDRESS,INCIDENT_ID
4/6/2005,DISORDERLY CONDUCT,"1700 CLAY HILL AVE, HACIENDA HEIGHTS, CA",105-05471-1472
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"20300 JENNIFER PL, SANTA CLARITA, CA",105-05475-0634
4/6/2005,GRAND THEFT AUTO,"10700 PARISE DR, WHITTIER, CA  90604",405-06579-0492
4/6/2005,VEHICLE / BOATING LAWS,"GARDENDALE ST AND HANWELL AVE, BELLFLOWER, CA  90706",105-09245-1332
4/6/2005,VEHICLE / BOATING LAWS,"10400 RUSH ST, SOUTH EL MONTE, CA",105-05036-0560
4/6/2005,LARCENY THEFT,"6600 SAN VICENTE ST, PARAMOUNT, CA  90723",405-09246-1363
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"11600 AVIATION BLVD, LOS ANGELES, CA",105-02431-6056
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"COMPTON BLVD AND BRADFIELD AVE, COMPTON, CA",105-05095-2846
4/6/2005,GRAND THEFT AUTO,"224TH ST AND MARBELLA AVE, CARSON, CA",605-04325-1624
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"12800 NORWALK BLVD, NORWALK, CA",105-06580-0454
4/6/2005,GRAND THEFT AUTO,"20300 S BELSHAW AVE, CARSON, CA",605-04326-1615
4/6/2005,LARCENY THEFT,"26900 THE OLD ROAD RD, STEVENSON RANCH, CA  91381",505-05476-0664
4/6/2005,JUVENILE NON-CRIMINAL,"37700 DUFFELL ST, PALMDALE, CA",105-06093-2607
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"ARTESIA AND BLOOMFIELD AVE, CERRITOS, CA  90703",105-01740-2316
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"ATLANTIC AVE AND ALONDRA BLVD, COMPTON, CA  90220",105-05096-2847
4/6/2005,BURGLARY,"14400 SOLEDAD CANYON RD, CANYON COUNTRY, CA  91351",505-05477-0653
4/6/2005,LARCENY THEFT,"1200 E AVENUE S, PALMDALE, CA",405-06094-2603
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"1200 MAPLE FIELD ST, SOUTH EL MONTE, CA  91733",105-05038-0562
4/6/2005,LARCENY THEFT,"2400 RANSOM ST, COMMERCE, CA  90040",405-03914-0242
4/6/2005,GRAND THEFT AUTO,"1200 CACTUS DR, PALMDALE, CA",505-06095-2611
4/6/2005,NON-AGGRAVATED ASSAULTS,"500 BAUCHET ST, LOS ANGELES, CA  90012",005-00476-5100
4/6/2005,VEHICLE / BOATING LAWS,"257TH ST AND WALNUT ST, LOMITA, CA  90717",105-01260-1712
4/6/2005,FELONIES MISCELLANEOUS,"10700 CERES AVE, WHITTIER, CA",405-06582-0492
4/6/2005,VANDALISM,"17800 BLCK VICTORY BLVD, VAN NUYS, CA",405-02432-6884
4/6/2005,VANDALISM,"17800 BLCK VICTORY BLVD, VAN NUYS, CA",405-02433-6884
4/6/2005,VANDALISM,"17800 BLCK VICTORY BLVD, VAN NUYS, CA",405-02434-6884
4/6/2005,VANDALISM,"17800 BLCK VICTORY BLVD, VAN NUYS, CA",405-02435-6884
4/6/2005,VANDALISM,"11800 BLCK VICTORY BLVD, VAN NUYS, CA",405-02436-6884
4/6/2005,LARCENY THEFT,"600 N SPRING AVE, COMPTON, CA  90221",405-05097-2822
4/6/2005,GRAND THEFT AUTO,"10200 REGATTA AVE, WHITTIER, CA",605-06583-0492
4/6/2005,GRAND THEFT AUTO,"22100 S FRIES AVE, CARSON, CA",605-04327-1618
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"23700 MAILBU RD, MALIBU, CA",105-01925-1014
4/6/2005,MISDEMEANORS MISCELLANEOUS,"16300 LANDMARK AVE, WHITTIER, CA",105-06584-0497
4/6/2005,VEHICLE / BOATING LAWS,"HOLLOWAY DR AND LA CIENEGA BLVD, WEST HOLLYWOOD, CA",105-02367-0976
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"3900 STOCKER ST, LOS ANGELES, CA  90008",105-00811-2763
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"16300 PARAMOUNT BLVD, PARAMOUNT, CA  90723",105-09248-1368
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"700 W CORREGIDOR, COMPTON, CA  90220",105-05098-2835
4/6/2005,DISORDERLY CONDUCT,"31000 LOBO CYN RD, AGOURA, CA",105-01926-2211
4/6/2005,AGGRAVATED ASSAULT,"1800 E COMPTON BLVD, COMPTON, CA",405-05099-2846
4/6/2005,GRAND THEFT AUTO,"10500 IMPERIAL HWY, NORWALK, CA",605-06585-0453
4/6/2005,RECEIVING STOLEN PROPERTY,"SOUTH ST AND WOODRUFF AVE, LAKEWOOD, CA",505-09249-1326
4/6/2005,LARCENY THEFT,"23500 AMBERWICK PL, DIAMOND BAR, CA",405-02676-2925
4/6/2005,VEHICLE / BOATING LAWS,"SOLEDAD CANYON RD AND GOLDEN OAK RD, SANTA CLARITA, CA",105-05478-0647
4/6/2005,VANDALISM,"22800 S CATSKILL AVE, CARSON, CA",105-04328-1624
4/6/2005,LARCENY THEFT,"10400 BUDLONG AVE, LOS ANGELES, CA",405-03321-0372
4/6/2005,MISDEMEANORS MISCELLANEOUS,"PALM ST AND WOODRUFF AVE, BELLFLOWER, CA  90706",105-09250-1336
4/6/2005,LARCENY THEFT,"4300 FREEDOM DR, CALABASAS, CA  91302",405-01927-2248
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"ROSECRANS AVE AND SHOEMAKER AVE, NORWALK, CA",105-06586-0459
4/6/2005,SEX OFFENSES MISDEMEANORS,"CALDWELL ST AND CHESTER AVE, COMPTON, CA  90221",405-05100-2844
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"5300 WHITTIER BLVD, COMMERCE, CA",105-03915-0242
4/6/2005,VEHICLE / BOATING LAWS,"NORWALK BLVD AND ARTESIA BLVD, CERRITOS, CA  90703",105-01741-2318
4/6/2005,LARCENY THEFT,"22300 S GRACE AVE, CARSON, CA",405-04329-1617
4/6/2005,JUVENILE NON-CRIMINAL,"700 HUMPHREYS AVE, EAST LOS ANGELES, CA  90022",105-03916-0283
4/6/2005,VEHICLE / BOATING LAWS,"CLARK AVE AND PALM ST, BELLFLOWER, CA  90706",105-09251-1335
4/6/2005,LARCENY THEFT,"16500 CORNUTA AVE, BELLFLOWER, CA  90706",405-09252-1337
4/6/2005,MISDEMEANORS MISCELLANEOUS,"2300 FOOTHILL BLVD, LA CANADA, CA",105-00711-1260
4/6/2005,BURGLARY,"14400 ROSECRANS AVE, LA MIRADA, CA  90638",505-06587-0472
4/6/2005,GRAND THEFT AUTO,"3700 ROCKHOLD AVE, ROSEMEAD, CA",605-05039-0531
