INCIDENT_REPORTED_DATE,CATEGORY,ADDRESS,INCIDENT_ID,Latitude,Longitude
4/6/2005,DISORDERLY CONDUCT,"1700 CLAY HILL AVE, HACIENDA HEIGHTS, CA",105-05471-1472,33.993795498255,-117.94261156623
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"20300 JENNIFER PL, SANTA CLARITA, CA",105-05475-0634,34.41157521824,-118.488594494791
4/6/2005,GRAND THEFT AUTO,"10700 PARISE DR, WHITTIER, CA  90604",405-06579-0492,33.936351288687,-118.022189379046
4/6/2005,VEHICLE / BOATING LAWS,"GARDENDALE ST AND HANWELL AVE, BELLFLOWER, CA  90706",105-09245-1332,33.908774468301,-118.138604222915
4/6/2005,VEHICLE / BOATING LAWS,"10400 RUSH ST, SOUTH EL MONTE, CA",105-05036-0560,34.051785941619,-118.044695595561
4/6/2005,LARCENY THEFT,"6600 SAN VICENTE ST, PARAMOUNT, CA  90723",405-09246-1363,33.899515655262,-118.181808844339
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"11600 AVIATION BLVD, LOS ANGELES, CA",105-02431-6056,33.928867919858,-118.378400433208
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"COMPTON BLVD AND BRADFIELD AVE, COMPTON, CA",105-05095-2846,33.896122991059,-118.203664970679
4/6/2005,GRAND THEFT AUTO,"224TH ST AND MARBELLA AVE, CARSON, CA",605-04325-1624,33.823310990736,-118.270555994599
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"12800 NORWALK BLVD, NORWALK, CA",105-06580-0454,33.914061054588,-118.072423766397
4/6/2005,GRAND THEFT AUTO,"20300 S BELSHAW AVE, CARSON, CA",605-04326-1615,33.847546161022,-118.255187466555
4/6/2005,LARCENY THEFT,"26900 THE OLD ROAD RD, STEVENSON RANCH, CA  91381",505-05476-0664,34.411122247086,-118.578950680922
4/6/2005,JUVENILE NON-CRIMINAL,"37700 DUFFELL ST, PALMDALE, CA",105-06093-2607,34.567546855505,-118.043537707179
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"ARTESIA AND BLOOMFIELD AVE, CERRITOS, CA  90703",105-01740-2316,33.873223002941,-118.063945014991
4/6/2005,MISCELLANEOUS NON-CRIMINAL,"ATLANTIC AVE AND ALONDRA BLVD, COMPTON, CA  90220",105-05096-2847,33.888830986753,-118.192973014988
